FDM Themenbereich;RDM content aspect;Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];;;
"Inhalte: Definition Repositorien; verschiedene Formen von Repositorien; Vor- und Nachteile verschiedener Repositorien; Funktionen von Repositorien.";"Contents: Definition of repositories; different forms of repositories; advantages and disadvantages of different repositories; functions of repositories.";... erläutern, was ein Repositorium ist. [SK 1];... explain what a repository is. [PC 1];... eigenständig nach und in Repositorien nach Daten suchen. [MK 3];... independently search for and in repositories for data. [MC 3];… Kriterien für die Auswahl eines Repositoriums nennen. [SK 4];... state criteria for the selection of a repository. [PC 4];... Aufgaben von Repositorien und ihre organisatorische Einbindung in existierende Prozesse darstellen und vermitteln. [SK 2, MK 3];... present and communicate the tasks of repositories and their organisational integration into existing processes. [PC 2, MC3];;;
;;...verschiedene Arten von Repositorien benennen. [SK 2];...name different types of repositories. [PC 2];;;… eigenständig Repositorien für Datennachnutzung und Veröffentlichung eigener Daten auswählen. [MK 4];... independently select repositories for data reuse and publication of own data. [MC 4];... zu wichtigen technischen, rechtlichen und organisatorischen Anforderungen für den Betrieb von Repositorien beraten und Orientierung geben bzw. an hierzu ausgewiesenes Fachpersonal verweisen. [SK 3];... advise on important technical, legal and organisational requirements for the operation of repositories and provide orientationguidance or refer to qualified personnel. [PC 3];;;
;;... Vor- und Nachteile verschiedener Datenrepositorien benennen. [SK 2];... name advantages and disadvantages of different data repositories. [PC 2];;;;;... Vor- und Nachteile verschiedener Datenrepositorien projektbezogen darlegen. [SK 3];... explain the advantages and disadvantages of different data repositories in relation to a project. [PC 3];;;
;;... unter Anleitung nach und in Repositorien nach Daten suchen. [MK 2];... search for and in data repositories under guidance. [MC 2];;;;;... Repositorien in der Forschungsdatenlandschaft verorten. [SK 3];... locate repositories in the research data landscape. [PC 3];;;
Daten nachnutzen;Reuse data ;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können... ;Learners are able to...;;;
"Inhalte: Vor- und Nachteile der Datennachnutzung; Datenzitiermethoden; relevante Lizenzen; Datenquellen; Recherchetools; Recherchestrategien. ";"Contents: Advantages and disadvantages of data reuse; data citation methods; relevant licences; data sources; search tools; search strategies. ";... die Vor- und Nachteile der Nachnutzung von Daten benennen. [SK 2];... name the advantages and disadvantages of the reuse of data. [PC 2];... verschiedene Informationsquellen, Recherche-Tools und -strategien für das Recherchieren nach Forschungsdaten benennen und nutzen. [SK 2];... name and use different sources of information, research tools and strategies for researching the discovery of research data. [PC 2] ;... verschiedene Informationsquellen, Recherchewerkzeuge und -strategien für das Recherchieren nach Forschungsdaten benennen, nutzen und kritisch bewerten. [SK 4, MK 4];... name, use and critically evaluate different information sources, research tools and strategies for the discovery of researching research data. [PC 4, MC 4];... verschiedene Informationsquellen, Recherche-Tools und -strategien für das Recherchieren nach Forschungsdaten beschreiben und an Dritte zielgruppengerecht vermitteln. [SK 4, MK 4, SoK 4] ;... describe various sources of information, research tools and strategies for finding research data, and can communicate them to others in a manner appropriate to the target audience. [PC 4, MC 4, SC 4];;;
;;... die Voraussetzungen zur Nachnutzung von Daten benennen. [SK 2];... state the requirements for the reuse of data. [PC 2];... eigenständig für eigene Projekte relevante Forschungsdaten recherchieren. [MK 3];... independently search for relevant research data for their own projects. [MC 3] ;;;... regeln der Datenzitation nennen und zielgruppengerecht an Dritte vermitteln. [SK 3, MK 3, SoK 3];... state the rules of data citation and can communicate them to others in a manner appropriate to the target audience.. [PC 3, MC 3, SC 3];;;
;;... Informationsquellen für das Recherchieren nach Forschungsdaten benennen. [SK 1] ;... name sources of information for research data. [PC 1];…nachgenutzte Daten eigenständig korrekt zitieren. [MK 3];...independently cite reused data correctly. [MC 3];;;... bezüglich der Nachnutzbarkeit von Daten beraten und Orientierung geben. [MK 3, SoK 3];... advise on the reusability of data and provide orientation. [MC 3, SC 3];;;
;;... unter Anleitung Forschungsdaten recherchieren. [MK 2];... search for research data under guidance. [MC 2];;;;;;;;;
;;... unter Anleitung Regeln des Zitierens von Forschungsdaten anwenden. [MK 2];... apply rules of citing research data under guidance. [MC 2];;;;;;;;;
 FDM Themenbereich;RDM content aspect;Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];;;
;;Bachelor ;Bachelor ;Master;Master;PhD;PhD;Data Stewards;Data Steward;;;
Recht und Ethik;Law and ethics;;;wie Bachelor +;like Bachelor +;wie Bachelor + Master + ;like Bachelor + Master +;wie Bachelor + Master + PhD +;like Bachelor + Master+ PhD +;;;
Allgemeine rechtliche Aspekte;General legal aspects;Lernende können... ;Learners are able to...;Lernende können... ;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
"Inhalte: FDM tangierende Rechtsbereiche; Grundlagen des Urheberrechts; Lizenzrecht und Lizenzsysteme.";"Contents:RDM relevant legal aspects; basics of copyright law; licensing law and licensing systems.";... die das FDM tangierenden Rechtsbereiche aufzählen. [SK 1];"... list the areas of law affecting the RDM. [PC 1]
";... unter Anleitung eine geeignete Lizenz für die Veröffentlichung von eigenen Forschungsdaten auswählen. [SK 4, MK 4];... select a suitable licence for the publication of their own research data under guidance. [PC 4, MC 4];... das Urheberrecht betreffende Regeln auf ihr Forschungsvorhaben anwenden. [SK 4, MK 3];"... apply rules concerning copyright to their research project. [PC 4, MC 3]
";... Initiativen, Akteure und Ansprechpartner*innen zu Rechtsaspekten des FDM benennen. [SK 1];"... Name initiatives, actors and contact persons on legal aspects of RDM. [PC 1]
";;;
;;... die Rolle von Urheberrecht und Lizenzrecht im FDM erläutern. [SK 2];... explain the role of copyright and licensing law in RDM. [PC 2];;;... eigenständig eine geeignete Lizenz für die Veröffentlichung von eigenen Forschungsdaten auswählen. [SK 4, MK 4];... independently select a suitable licence for the publication of their own research data. [PC 4, MC 4];... die verschiedenen Ebenen der gesetzlichen Regelungen, die beim FDM bedeutend sind, skizzieren und vermitteln. [SK 3, SoK 3];"... outline and communicate the different levels of legal regulations that are important for RDM. [PC 3, SC 3]
";;;
;;... relevante Lizenzsysteme benennen. [SK 1];"... name relevant licensing systems. [PC 1]
";;;... eigenständig ihre Publikation für die ausgewählte Lizenz im Hinblick auf Urheber- und Lizenzrecht rechtssicher aufbereiten. [SK 6, MK 6];"... independently prepare their publication for the selected licence in a legally secure manner with regard to copyright and licensing law. [PC 6, MC 6]
";... die an den unterschiedlichen Stellen des Forschungskreislaufs zu beachtenden rechtlichen Aspekte bestimmen und entsprechend beraten und schulen. [MK 4, SoK 3];"... identify the legal aspects to be considered at different points in the research cycle and advise and train accordingly. [MC 4, SC 3]
";;;
;;... die Eigenschaften offener und restriktiver Lizenzen beschreiben. [SK 2];... describe the characteristics of open and restrictive licences. [PC 2];;;;;... die für eine Open-Science-Veröffentlichung benötigten rechtlichen Aspekte bestimmen. [SK 3];"... determine the legal aspects needed for an open science publication. [PC 3]
";;;
;;;;;;;;... bzgl. der rechtlichen Aspekte einer Open-Science-Veröffentlichung Orientierung geben. [SK 4, SoK 4];"... provide guidance on the legal aspects of open science publishing. [PC 4, SC 4]
";;;
;;;;;;;;... zu grundlegenden Anfragen zum Urheberrecht Orientierung geben und ggf. an ausgewiesenes Personal weiterleiten. [SK 5, MK 5];"... give guidance on basic enquiries about copyright and refer to designated staff if necessary. [PC 5, MC 5]
";;;
;;;;;;;;... zu grundlegenden Anfragen zum Lizenzrecht Orientierung geben und ggf. an ausgewiesenes Personal weiterleiten. [SK 5, MK 5];"... provide guidance on basic enquiries about licensing law and refer to designated personnel as appropriate. [PC 5, MC 5]
";;;
;;;;;;;;... die aktuellen rechtlichen Entwicklungen bzgl. FDM skizzieren und zu Grundlagen schulen. [SK 4, MK 4];"… can outline current legal developments and explain the respective basics.
... outline the current legal developments regarding RDM and provide training on the basics. [PC 4, MC 4]
";;;
Datenschutz und personenbezogene Daten;Data protection and personal data;Lernende können…;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können…;Learners are able to...;;;
"Inhalte: Datenschutz; personenbezogene Daten. ";Contents: Data protection and personal data;… Beweggründe für einen besonderen Schutz personenbezogener Daten nennen. [SK 2];"... state the reasons for special protection of personal data. [PC 2]
";... erkennen, ob ihre eigenen Forschungsdaten personenbezogene Daten enthalten. [SK 3, MK 3];"... recognise whether their own research data contain personal data. [PC 3, MC 3]
";... eigenständig für die eigene Forschung geeignete Methoden auswählen und anwenden, die die Identität der Forschungsteilnehmenden schützen. [MK 4];"... independently select and apply appropriate methods for their own research that protect the identity of the research participants. [MC 4]
 ";... relevante Initiativen, Akteure und Ansprechpartner*innen benennen. [SK 1];... name relevant initiatives, actors and contact persons. [PC 1];;;
;;... die Rechtsgrundlagen zum Schutz personenbezogener Daten benennen. [SK 1];"... state the legal basis for the protection of personal data. [PC 1]
";… unter Anleitung für die eigene Forschung geeignete Methoden anwenden, die die Identität der Forschungsteilnehmenden schützen. [MK 4];"... apply appropriate methods for their own research that protect the identity of research participants under guidance. [MC 4]
";;;... aktuelle rechtlichen Entwicklungen skizzieren und vermitteln. [SK 2];... outline and communicate current legal developments. [PC 2];;;
;;... darstellen, was personenbezogene und sensible Daten sind und entsprechende Beispiele nennen. [SK 3];"... describe personal data and sensitive data and give examples. [PC 3]
";;;;;… anderen bezüglich Methoden und Maßnahmen, die für eine Verarbeitung und Publikation personenbezogener Daten erforderlichen sind, Orientierung geben. [SK 4, MK 4];"... provide guidance to others on methods and measures required for processing and publishing personal data. [PC 4, MC 4]
";;;
;;… Methoden und Maßnahmen benennen, die die Identität von Forschungsteilnehmenden schützen. [SK 2];"... name methods and measures that protect the identity of research participants. [PC 2]
";;;;;... zu grundlegenden Anfragen zum Datenschutz Orientierung geben und ggf. an ausgewiesenes Personal weiterleiten. [SK 5, MK 5];... provide guidance on basic data protection enquiries and refer to designated staff as appropriate. [PC 5, MC 5];;;
;;... die Hinweispflichten nennen, die für die Erhebung personenbezogener Daten für Forschungszwecke gelten. [SK 2];... state the obligations to provide information that apply to the collection of personal data for research purposes. [PC 2];;;;;;;;;
;;... die Bedeutung der Datensicherheit für den Datenschutz erläutern. [SK 2];... explain the importance of data security for data protection. [PC 2];;;;;;;;;
Informierte Einwilligung;Informed Consent;Lernende können…;Learners are able to...;Lernende können…;Learners are able to...;Lernende können…;Learners are able to...;Lernende können…;Learners are able to...;;;
Inhalte: Informierte Einwilligung.;Contents: Informed consent.;... Inhalte und Bedeutung einer informierten Einwilligung beschreiben. [SK 2];"... describe the content and meaning of informed consent. [PC 2]
";... mithilfe von Vorlagen eine informierte Einwilligung für eigene Forschungsarbeiten verfassen. [MK 5];"... use templates to write informed consent for their own research. [MC 5]
";… eigenständig bewerten, ob sie eine informierte Einwilligung für ihr Forschungsvorhaben einholen müssen. [MK 5];... independently assess whether they need to obtain informed consent for their research project. [MC 5];... Inhalte und Bedeutung einer informierten Einwilligung vermitteln. [SK 4, MK 4];"... Communicate the content and meaning of informed consent. [PC 4, MC 4]
";;;
;;;;;;... mithilfe von Vorlagen eine informierte Einwilligung für eigene Forschungsarbeiten verfassen. [MK 5];"... use templates to write an informed consent for their own research work. [MC 5]
";... bezüglich der Inhalte einer informierten Einwilligung Orientierung geben. [SK 4, MK 4];"... provide guidance on the content of informed consent. [PC 4, MC 4]
";;;
;;;;;;;;…Vorlagen für Informierte Einwilligungen entwerfen. [SK, MK 5];"...design templates for informed consent. [PC 5, MC 5]
";;;
Anonymisierung und Pseudonymisierung;Anonymisation and pseudonymisation;Lernende können...;Learners are able to...;Lernende können…;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
"Inhalte: Defintionen; Unterschied Anonymisierung/Pseudonymisierung; Verfahren der Anonymisierung/Pseudonymisierung; Grad der Anonymisierung; Maßnahmen als Voraussetzung für Archivierung und Publikation.";"Contents: Definitions; difference anonymisation/pseudonymisation; procedure of anonymisation/pseudonymisation; degree of anonymisation; measures as prerequisite for archiving and publication.";... die Definitionen der Begriffe Anonymisierung und Pseudonymisierung wiedergeben. [SK 1];"... repeat the definitions of the terms anonymisation and pseudonymisation. [PC 1]
";... Verfahren zur Anonymisierung und Pseudonymisierung unter Anleitung auf eigene Daten anwenden. [MK 3];... apply procedures for anonymisation and pseudonymisation to own data under guidance. [MC 3];... verschiedene Verfahren zur Anonymisierung und Pseudonymisierung von Daten eigenständig auf eigene Daten anwenden. [SK 3, MK 3] ;"... independently apply various procedures for anonymising and pseudonymising data to their own data. [PC 3, MC 3] 
";... verschiedene Verfahren zur Anonymisierung und Pseudonymisierung von Daten beschreiben und Grundlagen vermitteln. [SK 3, MK 3, SoK 3] ;"... describe different procedures for anonymising and pseudonymising data and communicate the basics. [PC 3, MC 3, SC 3] 
";;;
;;... den Unterschied zwischen Anonymisierung und Pseudonymisierung erläutern. [SK 2];"... explain the difference between anonymisation and pseudonymisation. [PC 2]
";;;... eigenständig den Grad der Anonymisierbarkeit ihrer Daten bezogen auf den Informationsgehalt beurteilen. [SK 5];"... independently assess the degree of anonymisability of their data in relation to the information content. [PC 5]
";... bzgl. der Auswahl eines geeigneten Verfahrens Orientierung geben. [SK 3, MK 3];"... provide orientation with regard to the selection of a suitable procedure. [PC 3, MC 3]
";;;
;;... direkt identifizierende Attribute in einem Datensatz erkennen. [SK 2, MK 2] ;... recognise direct identifer in a data set. [PC 2, MC 2] ;;;;;... zur Beurteilung des Grads der Anonymisierbarkeit von Forschungsdaten bezogen auf den Informationsgehalt Orientierung geben. [SK 4, MK 4];"... provide guidance on assessing the degree to which research data can be made anonymous in relation to the information content. [PC 4, MC 4]
";;;
;;... verschiedene Verfahren zur Anonymisierung und Pseudonymisierung von Daten beschreiben. [SK 2] ;"... describe different procedures for anonymising and pseudonymising data. [PC 2] 
";;;;;;;;;
;;... Verfahren zur Anonymisierung und Pseudonymisierung unter Anleitung auf eigene Daten anwenden. [MK 3];... apply procedures for anonymisation and pseudonymisation to their own data under guidance. [MC 3];;;;;;;;;
Ethische Aspekte und Gute Wissenschaftliche Praxis (GWP);Ethical Aspects and Good Scientific Practice (GSP);Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können…;Learners are able to...;;;
"Inhalte: Ethische Grundlagen zum Umgang mit Daten; Auskunft zu ethischen Aspekten; Gute Wissenschaftliche Praxis; Umgang mit wissenschaftlichem Fehlverhalten; CARE-Prinzipien.";"Contents: Ethical principles for handling data; information on ethical aspects; good scientific practice; dealing with scientific misconduct; CARE principles.";... ethische Dimensionen im Umgang mit Daten benennen. [SK 1] ;... name ethical dimensions in dealing with data. [PC 1] ;... angeben, in welchen Forschungszusammenhängen eine Auskunft zu ethischen Aspekten nötig ist. [SK 2] ;... indicate in which research contexts information on ethical aspects is necessary. [PC 2] ;... einstufen, ob in eigenen Forschungszusammenhängen eine Auskunft zu ethischen Aspekten nötig ist. [SK 4] ;... classify whether information on ethical aspects is necessary in their own research contexts. [PC 4] ;… Initiativen, Akteure und Ansprechpartner*innen zu Ethikaspekten mit Bezug auf Forschungsdaten benennen. [SK 1];"... name initiatives, actors and contact persons on ethical aspects with regard to research data. [PC 1]
";;;
;;... einen verantwortungsvollen Umgang mit Daten beschreiben. [SK 2];...describe responsible handling of data. [PC 2];... einstufen, ob und welche ethischen Dimensionen in eigenen Projekten eine Rolle spielen und diese diskutieren. [MK 4] ;... classify whether and which ethical dimensions play a role in their own projects and discuss them. [MC 4] ;... eine Auskunft zu ethischen Aspekten der eigenen Forschungsprojekte selbständig formulieren. [MK 4];...independently formulate information on ethical aspects of their own research projects. [MC 4];... die an den unterschiedlichen Stellen des Forschungskreislaufs zu beachtenden ethischen Aspekte benennen. [SK 2];"... name the ethical aspects to be considered at different points in the research cycle. [PC 2]
";;;
;;... die Grundprinzipien Guter Wissenschaftlicher Praxis erläutern. [SK 2];... explain the basic principles of good scientific practice. [PC 2];... den Umgang mit Daten aus ethischer Perspektive hinterfragen. [MK 5];... question the handling of data from an ethical perspective. [MC 5];;;... die relevanten Vorgaben der Forschungsförderer benennen und Forschende hierzu beraten. [SK 3, MK 3];... name the relevant requirements of research funding bodies and advise researchers on these. [PC 3, MC 3];;;
;;... die CARE-Prinzipien beschreiben. [SK 2];... describe the CARE principles. [PC 2];;;;;;;;;
 FDM Themenbereich;RDM content aspect;Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];;;
;;Bachelor ;Bachelor ;Master;Master;PhD;PhD;Data Stewards;;;;
Unterstützungsstrukturen;Supporting structures;;;wie Bachelor +;like Bachelor +;wie Bachelor + Master +;like Bachelor + Master +;wie Bachelor + Master + PhD +;like Bachelor + Master+ PhD +;;;
;;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können…;Learners are able to...;;;
Rollen im Datenmanagement / Data Stewardship;Roles in data management / data stewardship;"Nicht relevant; ggf. Berufsorientierung";"Not relevant; vocational orientation, if applicable";"Nicht relevant; ggf. Berufsorientierung";"Not relevant; vocational orientation, if applicable";"Nicht relevant; ggf. Berufsorientierung";"Not relevant; vocational orientation, if applicable";... die verschiedenen Handlungsfelder und Rollen im FDM beschreiben. [SK 2];... describe the different fields of action and roles in RDM. [PC 2];;;
"Inhalte:Handlungsfelder im FDM; typische Problemstellungen im beruflichen Zusammenhang.";"Contents:Fields of activity in RDM; typical problems in a professional context.";;;;;;;... Problemstellungen im Bereich FDM in ihrem beruflichen Alltag analysieren. [MK 5];"... analyse problems in the field of RDM in their everyday professional life. [MC 5]
";;;
;;;;;;;;... zu Problemstellungen im Bereich FDM in ihrem beruflichen Alltag Lösungsstrategien entwickeln. [MK 6];"... develop solution strategies for problems in the field of RDM in their daily work. [MC 6]
";;;
Relevante Infrastrukturen;Relevant infrastructures;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
Inhalte: Typische institutionelle wie außerinstitutionelle FDM-relevante Services.;Contents: Typical institutional and non-institutional RDM-relevant services.;... Ansprechpersonen/Abteilungen zum FDM an ihren Institutionen benennen. [SK 2];... name contact persons/departments for RDM at their institutions. [PC 2];... Ansprechpersonen/Abteilungen zum FDM an ihren Institutionen benennen und Services unter Anleitung anwenden. [SK 3];... name contact persons/departments for RDM at their institutions and apply services under guidance. [PC 3];... Ansprechpersonen/Abteilungen zum FDM an ihren Institutionen benennen und Services eigenständig Anleitung anwenden. [SK 3];... name contact persons/departments for RDM at their institutions and apply services independently [PC 3];... typische Services zum FDM an Hochschulen/Universitäten oder anderen Forschungseinrichtungen benennen. [SK 2];... name typical services for RDM at colleges/universities or other research institutions. [PC 2];;;
;;;;;;;;... die Dienste der eigenen Einrichtung bzw. einer Beispieleinrichtung zum Umgang mit Forschungsdaten beschreiben. [SK 2];... describe the services of their own institution or an example institution for handling research data. [PC 2];;;
;;;;;;;;... eigenständig nach Ansprechpersonen für verschiedene FDM-relevante Services recherchieren. [MK 3];... independently search for contact persons for various RDM-relevant services. [MC 3];;;
Didaktik;Didactics;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
"Inhalte: Grundlagen der Lehrveranstaltungsplanung; Lernpsychologische Grundlagen; Motivation und Aktivierung von Lernenden; Präsentationsformen; Einsatz von didaktischen Methoden; Feedback geben und nehmen.";"Contents: Basics of course planning; psychology of learning; motivation and activation of learners; forms of presentation; use of didactic methods; giving and taking feedback.";"Nicht relevant; ggf. relevant für Tutor*innen";"Not relevant; possibly relevant for tutors.";"Nicht relevant; ggf. relevant für Tutor*innen";"Not relevant; possibly relevant for tutors.";... FDM-relevante Inhalte für eigene Fachveranstaltungen identifizieren und vermitteln. [MK 3];... identify and communicate RDM-relevant contents for own professional events. [MC 3];... Bedingungen für ein anregendes Lehren wiedergeben. [SK 1];... repeat conditions for stimulating teaching. [PC 1];;;
;;;;;;;;... Konzepte zum Lernprozess skizzieren (z. B. Döring). [SK 2];... outline concepts of the learning process (e. g. Döring). [PC 2];;;
;;;;;;;;... eigene Schulungen auf Basis vorhandener Konzepte und Methoden entwickeln. [MK 3];... develop their own training courses on the basis of existing concepts and methods. [MC 3];;;
;;;;;;;;... die 3-Z-Formel auf eigene Schulungskonzepte anwenden. [MK 3];... apply the 3-Z formula to own training concepts [MC 3];;;
;;;;;;;;... inhaltliche und organisatorische Aspekte eines Workshopaufbaus bewerten. [MK 5];... evaluate content-related and organisational aspects of a workshop structure. [MC 5];;;
;;;;;;;;... unterschiedliche didaktische Methoden und deren Ziele voneinander unterscheiden. [SK 4];... differentiate between different didactic methods and their aims. [PC 4];;;
;;;;;;;;... verschiedene didaktische Methode in ihren Schulungen so einsetzen, dass sie einen Beitrag zum Lernerfolg leisten. [SoK 6];... use different didactic methods in their training courses in such a way that they contribute to learning success. [SC 6];;;
;;;;;;;;... die Unterschiede zwischen den Funktionsweisen und Anwendungsbereichen von Evaluation und Feedback benennen. [SK 2];... name the differences between the modes of operation and areas of application of evaluation and feedback. [PC 2];;;
;;;;;;;;... geeignete/vorhandene Evaluations- und Feedback-Methoden für ihre Schulungen anwenden. [MK oder SoK 3];... apply appropriate/existing evaluation and feedback methods to their training. [MC or SC 3];;;
;;;;;;;;... eigene Evaluations- und Feedbackmethoden für ihre Schulungen entwickeln und anwenden. [MK oder SoK 6];... develop and apply their own evaluation and feedback methods for their training. [MC or SC 6];;;
;;;;;;;;... eigenständig Schulungskonzepte für verschiedene Zielgruppen entwickeln. [MK 6, SoK 4];... independently develop training concepts for different target groups. [MC6, SC 4];;;
Beratung;Consulting;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
"Inhalte: Grundlagen der Beratung; Methoden und Ansätze in der Beratungsarbeit.";"Contents: Basics of counselling; methods and approaches in counselling work.";Nicht relevant;Not relevant.;Nicht relevant;Not relevant.;Nicht relevant;Not relevant.;... zwischen verschiedenen Ansätzen und Methoden für die Beratung differenzieren. [SK4, MK 3];... differentiate between different approaches and methods for counselling. [PC 4, MC 3];;;
;;;;;;;;... geeignete Ansätze und Methoden für unterschiedliche Beratungssettings anwenden. [SK 3, MK 3, SoK 3];... apply appropriate approaches and methods for different guidance settings. [PC 3, MC 3, SC3];;;
;;;;;;;;... verschiedene Zielgruppen zu generischen und auf das FDM bezogenen Anliegen und Konzepten beraten. [SK 3, MK 3, SoK 3];... counsel different target groups on generic and RDM-related concerns and concepts. [PC 3, MC 3, SC 3];;;
;;;;;;;;... Grenzen der Beratungsleistung aufzeigen und auf weitere Anlaufstellen (z. B. bei fachlichen oder rechtlichen Anliegen) verweisen. [SK 4, SeK 5, SoK 5];... point out the limits of the counselling service and refer to other contact points (e. g. for professional or legal concerns). [PC 4, SelfC 5, SC5];;;
